question,answer,source
"Gabe is standing on a diving board at the pool. Earth's gravity is pulling down on Gabe with a force of 400N. The diving board is pushing up on Gabe with a force of 400N. Assume all other forces on Gabe are balanced. Which statement describes the forces on Gabe? Choose from: The forces are balanced, so there is no net force on Gabe., The forces are unbalanced, so there is a net force on Gabe..","To determine if there is a net force on Gabe, look at the forces:
Earth's gravity is pulling Gabe down with a force of 400 N.
The diving board is pushing Gabe up with a force of 400 N.
The forces are in opposite directions, and the forces have the same magnitude: 400 N. This means that the forces are balanced, so there is no net force on Gabe.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has less thermal energy? Choose from: a 300-gram glass of water at a temperature of 75°F, a 300-gram glass of water at a temperature of 80°F.","The two glasses of water have the same mass but different temperatures. Since the 75°F glass of water is colder than the 80°F glass of water, it has less thermal energy.",PhysicsScienceQA
"Compare the motion of two birds. Which bird was moving at a higher speed? Choose from: a bird that moved 45kilometers in 10hours, a bird that moved 25kilometers in 10hours.","Look at the distance each bird moved and the time it took to move that distance.
One bird moved 45 kilometers in 10 hours.
The other bird moved 25 kilometers in 10 hours.
Notice that each bird spent the same amount of time moving. The bird that moved 45 kilometers moved a farther distance in that time. So, that bird must have moved at a higher speed.",PhysicsScienceQA
"Two donkeys pull carts from the farmhouse to the yard. The carts are the same. Each cart is holding different tools. The donkeys move the carts at the same speed. Which cart is pulled with a larger force? Choose from: a cart holding 68 pounds, a cart holding 84 pounds.","Look for the cart that is heavier.
A cart holding 84 pounds is heavier than a cart holding 68 pounds. So, the cart holding 84 pounds needs a larger force to start moving at the same speed as the other cart.",PhysicsScienceQA
"Two pots of spaghetti sauce are identical except for their thermal energies. Which pot of spaghetti sauce has a lower temperature? Choose from: the pot of spaghetti sauce with more thermal energy, the pot of spaghetti sauce with less thermal energy.","The two pots of spaghetti sauce are made of the same material and have the same mass. So, the pot of spaghetti sauce with less thermal energy has a lower temperature.",PhysicsScienceQA
"Rita is sitting on a roller coaster cart as it reaches the bottom of a big loop. Earth's gravity is pulling down on Rita with a force of 600N. The seat of the cart is pushing up on Rita with a force of 1,200N. Assume all other forces on Rita are balanced. Which statement describes the forces on Rita? Choose from: The forces are balanced, so there is no net force on Rita., The forces are unbalanced, so there is a net force on Rita..","To determine if there is a net force on Rita, look at the forces:
Earth's gravity is pulling Rita down with a force of 600 N.
The seat of the cart is pushing Rita up with a force of 1,200 N.
The forces are in opposite directions, and the forces have different magnitudes: 600 N and 1,200 N. This means that the forces are unbalanced, so there is a net force on Rita.",PhysicsScienceQA
"The objects are identical except for their temperatures. Which object has the least thermal energy? Choose from: a 250-gram mug of cider at a temperature of 31°C, a 250-gram mug of cider at a temperature of 29°C, a 250-gram mug of cider at a temperature of 53°C.","All three mugs of cider have the same mass but different temperatures. Since the 29°C mug of cider is the coldest, it has the least thermal energy.",PhysicsScienceQA
"Compare the motion of two fish. Which fish was moving at a higher speed? Choose from: a fish that moved 50kilometers in 10hours, a fish that moved 85kilometers in 10hours.","Look at the distance each fish moved and the time it took to move that distance.
One fish moved 85 kilometers in 10 hours.
The other fish moved 50 kilometers in 10 hours.
Notice that each fish spent the same amount of time moving. The fish that moved 85 kilometers moved a farther distance in that time. So, that fish must have moved at a higher speed.",PhysicsScienceQA
"A shopper is buying food at the store. He fills two shopping bags. The shopping bags are the same size and shape. The shopper lifts each bag at the same speed. Which bag is lifted with a larger force? Choose from: a bag holding 9 pounds of food, a bag holding 7 pounds of food.","Look for the shopping bag that is heavier.
A shopping bag holding 9 pounds of food is heavier than a shopping bag holding 7 pounds of food. So, the bag holding 9 pounds needs a larger force to start moving upward at the same speed as the other bag.",PhysicsScienceQA
"Which is the bumpiest? Choose from: nylon shorts, bark, rubber ballon.","Bumpy is a property. A bumpy material is covered in lumps and bumps. It is not flat or smooth.
Look at each picture, one at a time. Imagine touching the material shown in each picture.
Of the choices, the bark is the bumpiest. If you could touch this tree bark, it would feel lumpy and bumpy.",PhysicsScienceQA
"Which is the hardest? Choose from: paper crane, rubber band, bone.","Hard is a property. A hard material keeps its shape when you press on it with your finger.
Look at each picture, one at a time. Imagine pushing on the material shown in each picture.
Of the choices, the bone is the hardest. If you press on a bone, it will not change shape.",PhysicsScienceQA
"Which is smoother? Choose from: concrete sidewalk, silk necktie.","Smooth is a property. A smooth material is not rough or bumpy.
Look at each picture, one at a time. Imagine touching the material shown in each picture.
Of the choices, the silk necktie is smoother. If you touch silk fabric, it will not feel rough.",PhysicsScienceQA
"Which is harder? Choose from: clay ball, metal shield.","Hard is a property. A hard material keeps its shape when you press on it with your finger.
Look at each picture, one at a time. Imagine pushing on the material shown in each picture.
Of the choices, the metal shield is harder. If you press on a metal shield, it will not change shape.",PhysicsScienceQA
"Select the solid. Choose from: coffee, eraser, air inside a tire, air inside a bubble.","Coffee is a liquid. A liquid takes the shape of any container it is in. If you pour coffee into a different container, the coffee will take the shape of that container. But the coffee will still take up the same amount of space.
The air inside a tire is a gas. A gas expands to fill a space. The air in a tire expands to fill all the space inside the tire. If air leaks out, it will expand into the space around the tire.
The air inside a bubble is a gas. A gas expands to fill a space. The air inside a bubble fills all the space in the bubble. If the bubble pops, the air will expand to fill a much larger space.
An eraser is a solid. You can bend an eraser. But it will still have a size and shape of its own.",PhysicsScienceQA
